PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
178    178.00   17.93000   19.46079   1.53079    7.66807    5.93051    -1.73756   4.33624    2.01880    -2.31744   
179    179.00   18.07160   18.14649   0.07489    7.67152    5.96560    -1.70592   4.34259    2.27553    -2.06706   
180    180.00   17.67270   17.71151   0.03881    7.68530    5.98149    -1.70381   4.42213    2.36784    -2.05429   
181    181.00   17.51680   15.96273   -1.55407   7.69181    6.04291    -1.64890   4.45627    2.72736    -1.72891   
182    182.00   16.62200   16.16445   -0.45755   7.71211    6.04281    -1.66930   4.59396    2.72737    -1.86659   
183    183.00   16.73540   16.11158   -0.62382   7.71436    6.04943    -1.66493   4.59555    2.74651    -1.84904   
184    184.00   16.68360   16.33451   -0.34909   7.71821    6.06224    -1.65597   4.61311    2.74652    -1.86659   
185    185.00   16.77360   16.53421   -0.23939   7.72150    6.07980    -1.64170   4.62186    2.74653    -1.87533   
186    186.00   16.85250   19.67074   2.81824    7.72509    6.07980    -1.64529   4.63279    1.62307    -3.00972   
187    187.00   17.49900   19.85382   2.35482    7.72509    6.07729    -1.64780   4.34992    1.62636    -2.72356   
188    188.00   17.79840   19.44795   1.64955    7.73238    6.08892    -1.64346   4.34993    1.71536    -2.63457   
189    189.00   17.88060   18.88607   1.00547    7.73549    6.10528    -1.63021   4.35737    1.82262    -2.53475   
190    190.00   17.81580   19.15253   1.33673    7.73982    6.10062    -1.63920   4.37673    1.82263    -2.55410   
191    191.00   18.08310   18.78379   0.70069    7.74056    6.11324    -1.62732   4.37674    1.89876    -2.47798   
192    192.00   18.09360   18.73630   0.64270    7.74385    6.12049    -1.62336   4.38767    1.92375    -2.46392   
193    193.00   18.20070   18.24015   0.03945    7.74573    6.13770    -1.60803   4.38783    2.02784    -2.35999   
194    194.00   18.08130   17.60186   -0.47944   7.75281    6.15963    -1.59318   4.42275    2.16014    -2.26261   
195    195.00   17.83040   17.89173   0.06133    7.76270    6.15307    -1.60963   4.47724    2.16015    -2.31709   
196    196.00   18.01150   18.17852   0.16702    7.76477    6.14546    -1.61931   4.47725    2.16015    -2.31710   
197    197.00   18.20480   17.30443   -0.90037   7.76540    6.19108    -1.57432   4.47726    2.33818    -2.13908   
198    198.00   17.78830   15.70439   -2.08391   7.77859    6.27032    -1.50827   4.55369    2.66342    -1.89027   
199    199.00   16.86850   15.27121   -1.59729   7.80074    6.29618    -1.50456   4.69871    2.76188    -1.93683   
200    200.00   16.48510   15.11269   -1.37241   7.81101    6.31527    -1.49574   4.76659    2.80317    -1.96342   
201    201.00   16.25870   16.42373   0.16503    7.81734    6.31527    -1.50207   4.80716    2.38153    -2.42563   
202    202.00   18.62260   16.13360   -2.48900   7.81734    6.33282    -1.48452   3.39692    2.44533    -0.95159   
203    203.00   18.04010   15.83154   -2.20856   7.85905    6.37208    -1.48697   3.50928    2.52956    -0.97972   
204    204.00   17.36710   21.57138   4.20428    7.93047    6.37208    -1.55839   3.66161    1.02914    -2.63247   
205    205.00   18.57220   22.51862   3.94642    7.93047    6.31500    -1.61547   3.40077    1.02915    -2.37162   
206    206.00   19.77130   23.36160   3.59030    7.93047    6.26124    -1.66923   3.20755    1.02916    -2.17839   
207    207.00   20.46490   23.89004   3.42514    7.92844    6.22387    -1.70457   3.20756    1.02917    -2.17839   
208    208.00   21.06370   23.46911   2.40541    7.92546    6.21730    -1.70816   3.20756    1.11163    -2.09593   
209    209.00   21.34200   21.96820   0.62620    7.92485    6.24038    -1.68447   3.20757    1.31832    -1.88925   
210    210.00   21.15380   21.27040   0.11660    7.93237    6.24875    -1.68362   3.24817    1.43050    -1.81767   
211    211.00   21.02240   20.85289   -0.16951   7.93968    6.25398    -1.68570   3.28692    1.50019    -1.78673   
212    212.00   20.90800   19.34146   -1.56654   7.94551    6.28485    -1.66066   3.31696    1.71773    -1.59923   
213    213.00   20.22360   21.34815   1.12455    7.96117    6.28485    -1.67632   3.40971    1.37186    -2.03785   
214    214.00   20.65670   21.91268   1.25598    7.95956    6.25936    -1.70020   3.40972    1.37187    -2.03785   
215    215.00   21.05890   22.40804   1.34914    7.95914    6.23630    -1.72284   3.40973    1.37188    -2.03785   
216    216.00   21.57750   22.74723   1.16973    7.95914    6.21958    -1.73956   3.40001    1.37189    -2.02812   
